city,country,month,avgtemp_c,maxtemp_c,mintemp_c,maxwind_kph,totalprecip_mm,avghumidity,alpha-3
Berlin,Germany,January,4.390322580645161,14.4,-2.3,19.6,2.232258064516129,80.61290322580645,DEU
Berlin,Germany,February,3.9107142857142856,12.1,-4.0,20.38214285714286,1.757142857142857,78.39285714285714,DEU
Berlin,Germany,March,6.148387096774194,17.3,-1.7,21.929032258064513,3.425806451612903,75.80645161290323,DEU
Berlin,Germany,April,7.913333333333333,20.0,-2.4,17.986666666666668,2.225,71.23333333333333,DEU
Berlin,Germany,May,13.8,26.6,4.2,19.006451612903227,0.7983870967741935,62.03225806451613,DEU
Berlin,Germany,June,19.603333333333335,31.0,7.5,16.826666666666668,2.48,57.53333333333333,DEU
Berlin,Germany,July,20.5,35.2,12.0,20.725806451612904,2.0806451612903225,55.45161290322581,DEU
Berlin,Germany,August,20.283870967741933,31.7,11.7,17.019354838709678,3.514516129032258,64.61290322580645,DEU
Berlin,Germany,September,16.343333333333334,31.4,4.7,13.396666666666667,1.21,61.333333333333336,DEU
Berlin,Germany,October,13.63225806451613,23.8,5.5,15.735483870967743,1.429032258064516,70.6774193548387,DEU
Berlin,Germany,November,6.73,17.9,-3.4,15.336666666666668,0.7233333333333333,74.7,DEU
Berlin,Germany,December,1.964516129032258,15.0,-6.8,16.35483870967742,2.0483870967741935,84.45161290322581,DEU
Vienna,Austria,January,3.8225806451612905,12.0,-3.7,17.19677419354839,1.435483870967742,77.83870967741936,AUT
Vienna,Austria,February,4.692857142857143,15.7,-4.9,20.789285714285715,1.2785714285714285,67.78571428571429,AUT
Vienna,Austria,March,8.506451612903225,20.4,-0.3,20.993548387096773,2.1129032258064515,60.516129032258064,AUT
Vienna,Austria,April,8.596666666666666,20.6,-1.9,18.683333333333334,5.716666666666667,71.66666666666667,AUT
Vienna,Austria,May,13.8,25.6,3.9,16.293548387096774,4.72741935483871,75.41935483870968,AUT
Vienna,Austria,June,19.153333333333332,32.6,8.8,14.583333333333334,3.6366666666666663,69.66666666666667,AUT
Vienna,Austria,July,23.138709677419353,35.2,11.8,18.125806451612902,1.5483870967741935,58.96774193548387,AUT
Vienna,Austria,August,22.0258064516129,35.6,11.6,16.761290322580646,3.1564516129032256,59.225806451612904,AUT
Vienna,Austria,September,17.279999999999998,31.5,6.8,14.993333333333334,2.01,59.03333333333333,AUT
Vienna,Austria,October,14.170967741935485,22.4,6.5,14.874193548387098,1.0193548387096774,65.70967741935483,AUT
Vienna,Austria,November,7.493333333333334,19.0,-0.9,15.403333333333334,1.1,76.13333333333334,AUT
Vienna,Austria,December,2.635483870967742,11.4,-5.7,16.861290322580647,1.7451612903225804,82.12903225806451,AUT
Bern,Switzerland,January,0.2612903225806451,12.7,-10.9,11.109677419354838,1.8258064516129031,88.51612903225806,CHE
Bern,Switzerland,February,2.5107142857142857,15.7,-5.8,9.857142857142858,0.9471428571428572,79.64285714285714,CHE
Bern,Switzerland,March,5.254838709677419,17.2,-5.7,14.593548387096776,7.354838709677419,81.2258064516129,CHE
Bern,Switzerland,April,6.693333333333333,18.1,-3.5,12.543333333333333,5.763333333333334,82.03333333333333,CHE
Bern,Switzerland,May,12.251612903225807,23.0,3.7,12.148387096774194,4.737096774193549,81.61290322580645,CHE
Bern,Switzerland,June,18.11,29.9,7.8,10.723333333333333,2.5083333333333333,69.83333333333333,CHE
Bern,Switzerland,July,19.174193548387095,34.6,8.4,11.52258064516129,2.6793548387096773,72.35483870967742,CHE
Bern,Switzerland,August,18.75161290322581,34.9,5.2,10.27741935483871,5.829032258064516,71.16129032258064,CHE
Bern,Switzerland,September,14.110000000000001,29.6,3.4,9.96,3.72,78.46666666666667,CHE
Bern,Switzerland,October,12.916129032258064,23.5,3.0,7.487096774193549,1.974193548387097,80.6774193548387,CHE
Bern,Switzerland,November,6.09,15.6,-1.6,8.786666666666667,2.646666666666667,84.7,CHE
Bern,Switzerland,December,1.3225806451612903,13.7,-14.0,8.751612903225807,3.4129032258064513,90.25806451612904,CHE
Luxembourg,Luxembourg,January,3.329032258064516,12.4,-6.1,23.135483870967743,3.129032258064516,87.41935483870968,LUX
Luxembourg,Luxembourg,February,4.042857142857143,13.1,-4.7,18.74642857142857,0.2392857142857143,78.03571428571429,LUX
Luxembourg,Luxembourg,March,5.929032258064517,16.0,-2.8,25.664516129032258,8.993548387096775,80.96774193548387,LUX
Luxembourg,Luxembourg,April,7.403333333333333,16.8,-2.2,19.67,3.3183333333333334,78.83333333333333,LUX
Luxembourg,Luxembourg,May,12.541935483870969,23.2,2.0,18.24516129032258,1.632258064516129,79.3225806451613,LUX
Luxembourg,Luxembourg,June,19.063333333333333,30.8,7.5,17.146666666666665,0.9833333333333333,64.63333333333334,LUX
Luxembourg,Luxembourg,July,18.148387096774194,31.8,8.8,22.345161290322583,2.857741935483871,62.516129032258064,LUX
Luxembourg,Luxembourg,August,17.69677419354839,29.4,7.7,17.738709677419354,4.208064516129032,76.83870967741936,LUX
Luxembourg,Luxembourg,September,14.866666666666667,29.9,3.3,15.556666666666667,2.89,71.63333333333334,LUX
Luxembourg,Luxembourg,October,12.829032258064515,21.1,4.1,15.332258064516129,3.8548387096774195,82.06451612903226,LUX
Luxembourg,Luxembourg,November,7.3566666666666665,15.3,1.9,17.67,3.1300000000000003,86.96666666666667,LUX
Luxembourg,Luxembourg,December,2.574193548387097,14.5,-7.5,18.24516129032258,2.4419354838709677,87.38709677419355,LUX
